PRDCT_REF_ID,SRC_ENV_ID,PRDCT_ID,NDC_LBL_NAME,ADMIN_ROUTE,DRG_MANF,DEA_CD,GPI_THRPTC_CLASS_NAME,GPI_NUM_14_DIGIT,PRDCT_QUAL_CD,CREATE_TIMESTAMP,CREATED_BY,UPDATE_TIMESTAMP,UPDATED_BY,PKG_SIZE,UNIT_OF_MEASURE,PRDCT_DESCR,UNIT_OF_MEASURE_QTY,PKG_SIZE_TOTAL_QTY,MULTI_SRC_CD,DRUG_STRENGTH_QTY,DOSAGE_FORM_ID,DRG_UNIT_DOSE_USE_IND,GPI_NAME,DRG_STAT_CD,DRG_RX_OTC_IND
17573,500,00002751001,HUMALOG      INJ 100/ML,IJ,LILLY,0,Insulin,2.7104E+13,03,19:55.7,System,09:05.6,System,10,ML,VIAL,1,10,N,100,SOLN,U,INSULIN LISPRO INJ SOLN 100 UNIT/ML,A,R
34768,500,00024576105,SOLIQUA      INJ 100/33,SC,SANOFI PHA,0,Insulin,2799100235D220,03,19:55.7,System,08:37.7,System,3,ML,PEN,5,15,N,0,SOPN,U,INSULIN GLARGINE-LIXISENATIDE SOL PEN-INJ 100-33 UNIT-MCG/ML,A,R
53671,500,00071080524,NEURONTIN    CAP 300MG,OR,VIATRIS SP,0,Anticonvulsants - 2nd Generation,7.26E+13,03,19:55.7,System,06:00.3,System,100,EA,BOTTLE,1,100,O,300,CAPS,-,GABAPENTIN CAP 300 MG,A,S
172174,500,00597015230,JARDIANCE    TAB 10MG,OR,BOEHR INGL,0,SGLT-2 Inhibitors & Combos,2.77001E+13,03,19:55.7,System,35:38.2,System,30,EA,BOTTLE,1,30,N,10,TABS,-,EMPAGLIFLOZIN TAB 10 MG,A,R
17919,500,00002882427,HUMULIN R    INJ U-500KWP,SC,LILLY,0,Insulin,2710401000D250,03,19:55.7,System,09:05.6,System,3,ML,PEN,2,6,N,500,SOPN,U,INSULIN REGULAR (HUMAN) SOLN PEN-INJECTOR 500 UNIT/ML,A,R
850392,500,64380088304,CINACALCET   TAB 30MG,OR,STRIDES PH,0,Metabolic Modifiers,3.09052E+13,03,19:55.7,System,00:58.7,System,30,EA,BOTTLE,1,30,Y,30,TABS,-,CINACALCET HCL TAB 30 MG (BASE EQUIV),A,S
1106742,500,00078091112,XIIDRA       DRO 5%,OP,BAUSCH& LO,0,Ophthalmic Integrin Antagonist,8.67341E+13,03,07:23.5,System,07:11.6,System,5,EA,PLAS CONT,12,60,N,5,SOLN,X,LIFITEGRAST OPHTH SOLN 5%,A,R
69014,500,00093354143,ESTRADIOL    CRE 0.01%,VA,TEVA USA,0,Vaginal Estrogens,5.535E+13,03,19:55.7,System,08:09.3,System,42.5,GM,TUBE,1,42.5,Y,0.1,CREA,U,ESTRADIOL VAGINAL CREAM 0.01%,A,S
33465,500,00023320505,LUMIGAN      SOL 0.01% OP,OP,ALLERGAN,0,Ophthalmic Prostaglandins,8.633E+13,03,19:55.7,System,08:46.4,System,5,ML,BOTTLE,1,5,O,0.01,SOLN,U,BIMATOPROST OPHTH SOLN 0.01%,A,S
799031,500,60631041230,EDARBYCLOR   TAB 40-12.5,OR,AZURITY PH,0,Angiotensin II Receptor Antagonists & Combos,3.6994E+13,03,19:55.7,System,01:25.3,System,30,EA,BOTTLE,1,30,N,0,TABS,U,AZILSARTAN MEDOXOMIL-CHLORTHALIDONE TAB 40-12.5 MG,A,R
1206129,500,00469266030,VEOZAH       TAB 45MG,OR,ASTELLAS,0,Menopausal Symptoms Suppressants,3.0606E+13,03,06:27.4,System,08:37.7,System,30,EA,BOTTLE,1,30,N,45,TABS,-,FEZOLINETANT TAB 45 MG,A,R
938155,500,72511076002,REPATHA SURE INJ 140MG/ML,SC,AMGEN,0,PCSK9 Inhibitors,3935002000D520,03,19:55.7,System,06:24.1,System,1,ML,PEN,2,2,N,140,SOAJ,X,EVOLOCUMAB SUBCUTANEOUS SOLN AUTO-INJECTOR 140 MG/ML,A,R
1245986,500,55513071021,PROLIA       INJ 60MG/ML,SC,AMGEN,0,Osteoporosis Agents,3004453000E520,03,35:41.4,System,06:24.1,System,1,ML,SYRINGE,1,1,N,60,SOSY,X,DENOSUMAB INJ SOLN PREFILLED SYRINGE 60 MG/ML,A,R
1197015,500,64380018801,ZAFIRLUKAST  TAB 20MG,OR,STRIDES PH,0,Leukotriene Modulators,4.45051E+13,03,14:30.6,System,06:56.2,System,60,EA,BOTTLE,1,60,Y,20,TABS,U,ZAFIRLUKAST TAB 20 MG,A,S
860708,500,65702071210,ACCU-CHEK    TES GUIDE,VI,ROCHE DIAG,0,Diabetes Monitoring and Testing Supplies,9.41E+13,03,19:55.7,System,06:13.3,System,100,EA,BOX,1,100,N,0,STRP,U,GLUCOSE BLOOD TEST STRIP,A,O
1240567,500,70710116003,MIRABEGRON   TAB 50MG ER,OR,ZYDUS PHAR,0,Urinary Antispasmodics & OAB Drugs,5.42001E+13,03,23:36.4,System,06:32.9,System,30,EA,BOTTLE,1,30,Y,50,TB24,-,MIRABEGRON TAB ER 24 HR 50 MG,A,S
804272,500,61314014405,BRIMONIDINE  SOL 0.15% OP,OP,SANDOZ,0,Ophthalmic Adrenergic Agents,8.6602E+13,03,19:55.7,System,06:13.3,System,5,ML,BOTTLE,1,5,Y,0.15,SOLN,U,BRIMONIDINE TARTRATE OPHTH SOLN 0.15%,A,S
87603,500,00173071920,FLOVENT HFA  AER 110MCG,IN,GLAXOSMITH,0,Inhaled Steroids,4.44E+13,03,19:55.7,System,06:46.4,System,12,GM,INHALER,1,12,M,110,AERO,U,FLUTICASONE PROPIONATE HFA INHAL AER 110 MCG/ACT,I,S
33926,500,00023921110,COMBIGAN     SOL 0.2/0.5%,OP,ALLERGAN,0,Ophthalmic Beta Blockers,8.62599E+13,03,19:55.7,System,08:46.4,System,10,ML,BOTTLE,1,10,O,0,SOLN,U,BRIMONIDINE TARTRATE-TIMOLOL MALEATE OPHTH SOLN 0.2-0.5%,A,S
